AT90,DTCO,RHOZ,RO,LATITUD,TOC_COE,COE_IC_INF,COE_IC_SUP,TOC_CUERVO,CUERVO_IC_SUP,CUERVO_IC_INF,DEPTH
27.10192,61.2798,2.6835,1.42,-38.6713,0.0,0.0,0.0,0.0,0.83613,0.0,1735.074
43.9815,56.3329,2.6693,1.19,-38.7715,0.0,0.0,0.36295,0.0,0.97177,0.0,1799.5392
40.43617,55.7822,2.6513,1.19,-38.7715,0.0,0.0,0.99841,0.0,1.20337,0.0,1858.6704
60.33648,56.5503,2.6246,1.19,-38.7715,0.29183,0.0,1.38115,0.0,1.79385,0.0,1889.4552
17.23971,63.1285,2.6301,1.19,-38.7715,0.0,0.0,0.93301,0.0,1.62899,0.0,1894.1796
31.28816,61.8147,2.6006,1.19,-38.7715,1.02525,0.0,2.2193,0.0,2.23416,0.0,1903.0188
10.40639,83.0924,2.629,1.42,-38.6713,0.35314,0.0,1.45131,0.12264,2.44565,0.0,1921.9164
12.15038,68.3542,2.5902,1.19,-38.7715,0.73138,0.0,1.87994,0.10181,2.42486,0.0,1926.4884
23.10468,63.692,2.6486,1.19,-38.7715,0.0,0.0,0.77775,0.0,1.45054,0.0,1939.7472
21.78011,83.8343,2.6254,1.42,-38.6713,0.43336,0.0,1.5428,0.44762,2.77008,0.0,1953.4632
34.0275,66.3024,2.6266,1.42,-38.6713,0.29773,0.0,1.38791,0.0,2.04985,0.0,1971.7512
15.555,67.1241,2.6408,1.42,-38.6713,0.14797,0.0,1.21582,0.0,1.61611,0.0,1992.9348
15.54283,69.9429,2.6194,1.42,-38.6713,0.52095,0.0,1.64228,0.0,2.0967,0.0,2028.9012
23.59011,66.2343,2.6241,1.42,-38.6713,0.51435,0.0,1.63479,0.0,1.9728,0.0,2029.0536
312.73033,62.9977,2.5489,1.19,-38.7715,1.22534,0.11008,2.4666,1.56094,3.88188,0.0,2029.99
425.61801,61.9552,2.5711,1.19,-38.7715,1.10392,0.01494,2.31594,1.22787,3.54921,0.0,2030.78
268.74476,62.0801,2.563,1.19,-38.7715,1.10392,0.01494,2.31594,1.22776,3.54911,0.0,2032.03
273.67177,62.7463,2.5414,1.19,-38.7715,1.22534,0.11008,2.4666,1.63683,3.95769,0.0,2032.59
